127.0.0.1 - - [05/Mar/2019:21:52:49 +0100] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [05/Mar/2019:21:53:25 +0100] "GET /PicaWEB/Login HTTP/1.1" 200 7400
0:0:0:0:0:0:0:1 - - [05/Mar/2019:21:53:39 +0100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [05/Mar/2019:21:54:15 +0100] "POST /PicaWEB/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2019:21:54:16 +0100] "GET /PicaWEB/ListaPica HTTP/1.1" 200 5137
0:0:0:0:0:0:0:1 - - [05/Mar/2019:21:54:39 +0100] "GET /PicaWEB/CreatePica HTTP/1.1" 200 7587
0:0:0:0:0:0:0:1 - - [05/Mar/2019:21:54:52 +0100] "GET /PicaWEB/CreatePica HTTP/1.1" 200 7587
0:0:0:0:0:0:0:1 - - [05/Mar/2019:21:55:35 +0100] "POST /PicaWEB/CreatePica HTTP/1.1" 200 7606
0:0:0:0:0:0:0:1 - - [05/Mar/2019:21:56:51 +0100] "POST /PicaWEB/CreatePica HTTP/1.1" 200 7606
0:0:0:0:0:0:0:1 - - [05/Mar/2019:21:57:21 +0100] "POST /PicaWEB/CreatePica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2019:21:57:21 +0100] "GET /PicaWEB/ListaPica HTTP/1.1" 200 5581
0:0:0:0:0:0:0:1 - - [05/Mar/2019:21:57:30 +0100] "GET /PicaWEB/CreatePica HTTP/1.1" 200 7606
0:0:0:0:0:0:0:1 - - [05/Mar/2019:21:58:14 +0100] "POST /PicaWEB/CreatePica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2019:21:58:14 +0100] "GET /PicaWEB/ListaPica HTTP/1.1" 200 6025
0:0:0:0:0:0:0:1 - - [05/Mar/2019:21:58:25 +0100] "GET /PicaWEB/CreatePica HTTP/1.1" 200 7606
0:0:0:0:0:0:0:1 - - [05/Mar/2019:21:58:51 +0100] "POST /PicaWEB/CreatePica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2019:21:58:51 +0100] "GET /PicaWEB/ListaPica HTTP/1.1" 200 6470
0:0:0:0:0:0:0:1 - - [05/Mar/2019:21:59:06 +0100] "GET /PicaWEB/CreatePica HTTP/1.1" 200 7606
0:0:0:0:0:0:0:1 - - [05/Mar/2019:21:59:33 +0100] "POST /PicaWEB/CreatePica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2019:21:59:33 +0100] "GET /PicaWEB/ListaPica HTTP/1.1" 200 6916
0:0:0:0:0:0:0:1 - - [05/Mar/2019:21:59:42 +0100] "GET /PicaWEB/CreatePica HTTP/1.1" 200 7606
0:0:0:0:0:0:0:1 - - [05/Mar/2019:22:00:07 +0100] "POST /PicaWEB/CreatePica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2019:22:00:07 +0100] "GET /PicaWEB/ListaPica HTTP/1.1" 200 7361
0:0:0:0:0:0:0:1 - - [05/Mar/2019:22:00:39 +0100] "GET /PicaWEB/StatistikaZaradeSERVLET HTTP/1.1" 200 3318
0:0:0:0:0:0:0:1 - - [05/Mar/2019:22:00:58 +0100] "GET /PicaWEB/RacunServlet HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [05/Mar/2019:22:01:13 +0100] "GET /PicaWEB/StatistikaServlet HTTP/1.1" 200 3301
0:0:0:0:0:0:0:1 - - [05/Mar/2019:22:01:56 +0100] "GET /PicaWEB/BrojProdatihPicaPoDanu HTTP/1.1" 200 7375
0:0:0:0:0:0:0:1 - - [05/Mar/2019:22:02:04 +0100] "POST /PicaWEB/BrojProdatihPicaPoDanu HTTP/1.1" 200 7427
0:0:0:0:0:0:0:1 - - [05/Mar/2019:22:02:48 +0100] "GET /PicaWEB/ListaPica HTTP/1.1" 200 7361
0:0:0:0:0:0:0:1 - - [05/Mar/2019:22:03:08 +0100] "POST /PicaWEB/ListaPica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2019:22:03:08 +0100] "GET /PicaWEB/Korpa HTTP/1.1" 200 3356
0:0:0:0:0:0:0:1 - - [05/Mar/2019:22:03:12 +0100] "GET /PicaWEB/ListaPica HTTP/1.1" 200 7384
0:0:0:0:0:0:0:1 - - [05/Mar/2019:22:03:19 +0100] "POST /PicaWEB/ListaPica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2019:22:03:20 +0100] "GET /PicaWEB/Korpa HTTP/1.1" 200 3935
0:0:0:0:0:0:0:1 - - [05/Mar/2019:22:03:23 +0100] "GET /PicaWEB/ListaPica HTTP/1.1" 200 7384
0:0:0:0:0:0:0:1 - - [05/Mar/2019:22:03:34 +0100] "POST /PicaWEB/ListaPica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2019:22:03:34 +0100] "GET /PicaWEB/Korpa HTTP/1.1" 200 4512
0:0:0:0:0:0:0:1 - - [05/Mar/2019:22:03:40 +0100] "POST /PicaWEB/Korpa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2019:22:03:40 +0100] "GET /PicaWEB/StavkaServlet HTTP/1.1" 200 2778
0:0:0:0:0:0:0:1 - - [05/Mar/2019:22:06:58 +0100] "GET /PicaWEB/ListaPica HTTP/1.1" 200 7384
0:0:0:0:0:0:0:1 - - [05/Mar/2019:22:16:24 +0100] "POST /PicaWEB/ListaPica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2019:22:16:24 +0100] "GET /PicaWEB/Korpa HTTP/1.1" 200 3356
